sample_num,true_label,pred_label,confidence,top_words,top_weights,text_snippet
1,Fake,Fake,1.0,"[np.str_('SEP'), np.str_('right'), np.str_('a'), np.str_('the'), np.str_('Swipe')]","[0.0, 0.0, -0.0, 0.0, -0.0]",Read the frustrating conversation a man had with his granny after accidentally phoning her [SEP] Next Prev Swipe left right Read the frustrating conve
2,Fake,Fake,1.0,"[np.str_('Vladimir'), np.str_('Salter'), np.str_('Stop'), np.str_('t'), np.str_('Council')]","[0.0056, -0.0053, 0.005, 0.0048, 0.0047]",The Internet Cant Stop Laughing After Sean Spicer Says Trump Is Tough On Russia [SEP] White House Press Secretary Sean Spicer told reporters that Dona
3,Fake,Fake,1.0,"[np.str_('RT'), np.str_('2016'), np.str_('18'), np.str_('SEP'), np.str_('GMT')]","[0.0, 0.0, 0.0, -0.0, 0.0]",- RT Arabic [SEP] 26.10.2016 18 18 GMT . . . .
4,Fake,Fake,1.0,"[np.str_('video'), np.str_('SEP'), np.str_('members'), np.str_('a'), np.str_('email')]","[0.0, 0.0, 0.0, -0.0, 0.0]","ICYMI Seth Meyers Rips Apart Email from Paul Ryan [SEP] Like many other comedians, Seth Meyers is not impressed with the healthcare bill that was pass"
5,Fake,Fake,1.0,"[np.str_('s'), np.str_('isn'), np.str_('woman'), np.str_('position'), np.str_('Woman')]","[-0.0, -0.0, 0.0, 0.0, 0.0]",Woman Born In NAZI GERMANY Says Trump Doesnt Remind Her Of Hitler....Rioting Leftists Trying To Shut Down Free Speech Does [SEP] A woman who was born 
6,Fake,Fake,1.0,"[np.str_('2016'), np.str_('twitter'), np.str_('Video'), np.str_('SEP'), np.str_('Captures')]","[-0.0, 0.0, 0.0, 0.0, 0.0]","BREAKING...NYC Stunning Video Captures Hillary As She Appears To Be Convulsing Then Falling, Secret Service Forced To Lift Her Into Van [SEP] This IS "
1,Real,Real,1.0,"[np.str_('Weekend'), np.str_('loyalist'), np.str_('still'), np.str_('could'), np.str_('killing')]","[0.1537, 0.1173, 0.0909, 0.0717, 0.0705]","U.S. Presidential Race, North Dakota, Syria Your Weekend Briefing - The New York Times [SEP] Here are the weeks top stories, and a look ahead. 1. Nort"
2,Real,Real,1.0,"[np.str_('Reuters'), np.str_('U'), np.str_('we'), np.str_('order'), np.str_('s')]","[0.3578, 0.108, 0.1031, 0.1025, -0.0669]","Pence delays trip to Egypt, Israel because of U.S. tax vote [SEP] WASHINGTON Reuters - U.S. Vice President Mike Pence is postponing his trip to Egypt "
3,Real,Real,1.0,"[np.str_('Reuters'), np.str_('BARCELONA'), np.str_('Barcelona'), np.str_('a'), np.str_('SEP')]","[0.1401, 0.0978, 0.0898, 0.0685, 0.0537]",Spanish police fire rubber bullets in Barcelona media [SEP] BARCELONA Reuters - Spanish police fired rubber bullets in a Barcelona street on Sunday in
4,Real,Real,1.0,"[np.str_('Reuters'), np.str_('administration'), np.str_('strategy'), np.str_('Koreans'), np.str_('organizations')]","[0.2504, 0.106, 0.0726, 0.0725, 0.0488]","U.S. says strategy on North Korea centers on sanctions, open to talks [SEP] WASHINGTON Reuters - The Trump administration said on Wednesday it aimed t"
5,Real,Real,1.0,"[np.str_('Reuters'), np.str_('DENVER'), np.str_('vote'), np.str_('non'), np.str_('strictest')]","[0.1802, 0.1278, 0.0778, 0.0674, 0.0662]",Kansas asks U.S. appeals court to reinstate strict voter ID rule [SEP] DENVER Reuters - Kansas on Tuesday asked a U.S. appeals court to reinstate rule
6,Real,Real,1.0,"[np.str_('Reuters'), np.str_('WASHINGTON'), np.str_('SEP'), np.str_('said'), np.str_('Americans')]","[0.2338, 0.1271, 0.0983, 0.0842, 0.0751]",Cabinet members lobby Trump to remove Iraq from new travel ban officials [SEP] WASHINGTON Reuters - Senior Cabinet members have lobbied President Dona
